point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,category,control_class,method,confidence,selected_by,uncertainty_px,sigma_x_px,sigma_y_px,residual_px,accepted,note
MV_S27_S29_01,29,S29,tie,1729.14,3629.31,,,,,,,East corner of the same 20-ft alley mouth on the NORTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 1.01px)
MV_S27_S29_02,27,S27,tie,1602.48,365.55,,,,,,,West corner of the same alley line where it meets the SOUTH (sheet-27 side) line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_02,29,S29,tie,1671.4,3878.16,,,,,,,West corner of the same alley line where it meets the SOUTH (sheet-27 side) line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_03,27,S27,tie,1659.78,365.73,,,,,,,East corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_03,29,S29,tie,1731.75,3877.51,,,,,,,East corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_04,27,S27,tie,1020.38,114.63,,,,,,,North-west corner of the Av. H East / 22nd St intersection = south-east corner of the Ball High School block (Block 321),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.47px)
MV_S27_S29_04,29,S29,tie,1084.26,3635.24,,,,,,,North-west corner of the Av. H East / 22nd St intersection = south-east corner of the Ball High School block (Block 321),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.47px)
MV_S27_S29_05,27,S27,tie,1226.55,115.37,,,,,,,North-east corner of the Av. H East / 22nd St intersection = south-west corner of the Synagogue block (Block 261),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,6.0,6.0,6.0,,true,reconciled with independent reviewer (max disagreement 0.09px)
MV_S27_S29_05,29,S29,tie,1297.51,3633.27,,,,,,,North-east corner of the Av. H East / 22nd St intersection = south-west corner of the Synagogue block (Block 261),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,6.0,6.0,6.0,,true,reconciled with independent reviewer (max disagreement 0.09px)
MV_S27_S29_06,27,S27,tie,1018.51,363.77,,,,,,,South-west corner of the Av. H East / 22nd St intersection = north-east corner of Block 322 (German Lutheran Church block),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_06,29,S29,tie,1087.33,3884.49,,,,,,,South-west corner of the Av. H East / 22nd St intersection = north-east corner of Block 322 (German Lutheran Church block),,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_07,27,S27,tie,1231.84,364.42,,,,,,,South-east corner of the Av. H East / 22nd St intersection = north-west corner of Block 262,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_07,29,S29,tie,1298.72,3882.2,,,,,,,South-east corner of the Av. H East / 22nd St intersection = north-west corner of Block 262,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_08,27,S27,tie,2612.44,120.33,,,,,,,"West corner of the 20-ft alley mouth east of Av. I East, on the NORTH line of 22nd Street",,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.49px)
MV_S27_S29_08,29,S29,tie,2680.53,3620.55,,,,,,,"West corner of the 20-ft alley mouth east of Av. I East, on the NORTH line of 22nd Street",,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.49px)
MV_S27_S29_09,27,S27,tie,2670.73,120.54,,,,,,,East corner of the same alley mouth on the NORTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.34px)
MV_S27_S29_09,29,S29,tie,2740.25,3620.0,,,,,,,East corner of the same alley mouth on the NORTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.34px)
MV_S27_S29_10,27,S27,tie,2611.26,368.63,,,,,,,West corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_10,29,S29,tie,2685.54,3867.17,,,,,,,West corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_11,27,S27,tie,2668.23,368.81,,,,,,,East corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,5.0,5.0,5.0,,true,
MV_S27_S29_11,29,S29,tie,2744.1,3866.53,,,,,,,East corner of the same alley line on the SOUTH line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,5.0,5.0,5.0,,true,
MV_S27_S29_12,27,S27,tie,222.2,111.77,,,,,,,North-west terminus of the drawn 22nd St: corner of the east line of Av. G (Winnie E.) with the NORTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.60px)
MV_S27_S29_12,29,S29,tie,288.4,3642.56,,,,,,,North-west terminus of the drawn 22nd St: corner of the east line of Av. G (Winnie E.) with the NORTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 0.60px)
MV_S27_S29_13,27,S27,tie,223.29,361.34,,,,,,,South-west terminus: corner of the east line of Av. G (Winnie E.) with the SOUTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_13,29,S29,tie,291.5,3893.12,,,,,,,South-west terminus: corner of the east line of Av. G (Winnie E.) with the SOUTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_14,27,S27,tie,3040.01,121.86,,,,,,,North-east terminus: corner of the west line of Av. J (E. Broadway) with the NORTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 1.46px)
MV_S27_S29_14,29,S29,tie,3109.23,3616.6,,,,,,,North-east terminus: corner of the west line of Av. J (E. Broadway) with the NORTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,reconciled with independent reviewer (max disagreement 1.46px)
MV_S27_S29_15,27,S27,tie,3039.18,369.94,,,,,,,South-east terminus: corner of the west line of Av. J (E. Broadway) with the SOUTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_15,29,S29,tie,3112.13,3862.54,,,,,,,South-east terminus: corner of the west line of Av. J (E. Broadway) with the SOUTH line of 22nd St,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S27_S29_manual_gcps.json,4.0,4.0,4.0,,true,
MV_S27_S29_16,27,S27,tie,1664.7,155.9,,,,,,,"Hydrant on the north side of 22nd St at the mid-block alley, beside the 20-in./16-in./12-in. water-main junction",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S27_S29_16,29,S29,tie,1749.4,3674.4,,,,,,,"Hydrant on the north side of 22nd St at the mid-block alley, beside the 20-in./16-in./12-in. water-main junction",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S27_S29_17,27,S27,tie,661.6,163.6,,,,,,,"Westernmost of the three hydrants on 22nd St, beside the 6-in. pipe line between Av. G and Av. H East",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S27_S29_17,29,S29,tie,725.1,3695.4,,,,,,,"Westernmost of the three hydrants on 22nd St, beside the 6-in. pipe line between Av. G and Av. H East",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S27_S29_18,27,S27,tie,2671.3,163.1,,,,,,,"Easternmost of the three hydrants on 22nd St, beside the 6-in. alley main east of Av. I East",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S27_S29_18,29,S29,tie,2757.2,3662.3,,,,,,,"Easternmost of the three hydrants on 22nd St, beside the 6-in. alley main east of Av. I East",,symbol,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S27_S29_manual_gcps.json,20.0,20.0,20.0,,true,
MV_S7_S9_00,7,S7,tie,2714.0,3738.2,,,,,,,Water-main tee where the 22nd St main crosses the 6-inch north-south main in the 20-ft mid-block alley between Av. C (Mechanic E.) and Av. D (Market E.); a fire plug sits ~35 px east of it on both sheets.,water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,5.0,5.0,5.0,,true,"reviewer replacement: original took the crossing centre on S7 but the upper dashed line on S9, a 3.5px systematic dy"
MV_S7_S9_00,9,S9,tie,2713.0,282.2,,,,,,,Water-main tee where the 22nd St main crosses the 6-inch north-south main in the 20-ft mid-block alley between Av. C (Mechanic E.) and Av. D (Market E.); a fire plug sits ~35 px east of it on both sheets.,water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,5.0,5.0,5.0,,true,"reviewer replacement: original took the crossing centre on S7 but the upper dashed line on S9, a 3.5px systematic dy"
MV_S7_S9_01,7,S7,tie,1740.3,3741.4,,,,,,,"Water-main tee in the 20-ft alley between Av. B (Strand E.) and Av. C (Mechanic E.), at the exact point where the 22nd St main changes from 10-inch to 12-inch. Sheet 7 draws a star/valve symbol on the crossing; sheet 9 l",water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.0,4.0,4.0,,true,
MV_S7_S9_01,9,S9,tie,1716.0,288.7,,,,,,,"Water-main tee in the 20-ft alley between Av. B (Strand E.) and Av. C (Mechanic E.), at the exact point where the 22nd St main changes from 10-inch to 12-inch. Sheet 7 draws a star/valve symbol on the crossing; sheet 9 l",water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.0,4.0,4.0,,true,
MV_S7_S9_02,7,S7,tie,726.9,3742.9,,,,,,,"Water-main tee in the 20-ft alley between Av. A (Water E.) and Av. B (Strand E.); fire plug ~30 px east on both sheets; main lettered 10"" W.P. on both sides on both sheets.",water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S7__S9_manual_historical_point_specialist.json,8.0,8.0,8.0,,true,
MV_S7_S9_02,9,S9,tie,698.1,296.6,,,,,,,"Water-main tee in the 20-ft alley between Av. A (Water E.) and Av. B (Strand E.); fire plug ~30 px east on both sheets; main lettered 10"" W.P. on both sides on both sheets.",water-main tee,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S7__S9_manual_historical_point_specialist.json,8.0,8.0,8.0,,true,
MV_S7_S9_03,7,S7,tie,1120.16,3621.6,,,,,,,North-west corner of the Strand(Av.B)/22nd St intersection: block corner where the NORTH property line of 22nd St meets the WEST property line of Av. B or Strand E. (south-east corner of block 621).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.26,4.26,4.26,,true,sheet 7 draws two parallel lines ~6px apart at every avenue face (wall + awning edge); the choice cancels in the differential; reconciled with independent reviewer (max disagreement 2.84px)
MV_S7_S9_03,9,S9,tie,1094.58,177.7,,,,,,,North-west corner of the Strand(Av.B)/22nd St intersection: block corner where the NORTH property line of 22nd St meets the WEST property line of Av. B or Strand E. (south-east corner of block 621).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.26,4.26,4.26,,true,sheet 7 draws two parallel lines ~6px apart at every avenue face (wall + awning edge); the choice cancels in the differential; reconciled with independent reviewer (max disagreement 2.84px)
MV_S7_S9_04,7,S7,tie,1355.45,3621.5,,,,,,,"North-east corner of the Strand(Av.B)/22nd St intersection: north property line of 22nd St meets the EAST property line of Av. B or Strand E. (south-west corner of block 561, the 1st Natl Bank block).",block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,3.0,3.0,3.0,,true,reconciled with independent reviewer (max disagreement 0.18px)
MV_S7_S9_04,9,S9,tie,1332.39,176.5,,,,,,,"North-east corner of the Strand(Av.B)/22nd St intersection: north property line of 22nd St meets the EAST property line of Av. B or Strand E. (south-west corner of block 561, the 1st Natl Bank block).",block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,3.0,3.0,3.0,,true,reconciled with independent reviewer (max disagreement 0.18px)
MV_S7_S9_05,7,S7,tie,1120.4,3867.2,,,,,,,South-west corner of the Strand(Av.B)/22nd St intersection: SOUTH property line of 22nd St meets the west property line of Av. B (north-east corner of block 682).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,3.5,3.5,3.5,,true,
MV_S7_S9_05,9,S9,tie,1096.4,424.7,,,,,,,South-west corner of the Strand(Av.B)/22nd St intersection: SOUTH property line of 22nd St meets the west property line of Av. B (north-east corner of block 682).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,3.5,3.5,3.5,,true,
MV_S7_S9_06,7,S7,tie,2121.8,3621.3,,,,,,,North-west corner of the Mechanic(Av.C)/22nd St intersection: north property line of 22nd St meets the west property line of Av. C or Mechanic E. (south-east corner of block 561).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.0,4.0,4.0,,true,
MV_S7_S9_06,9,S9,tie,2106.7,172.6,,,,,,,North-west corner of the Mechanic(Av.C)/22nd St intersection: north property line of 22nd St meets the west property line of Av. C or Mechanic E. (south-east corner of block 561).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.0,4.0,4.0,,true,
MV_S7_S9_07,7,S7,tie,2329.1,3621.2,,,,,,,North-east corner of the Mechanic(Av.C)/22nd St intersection (south-west corner of block 559/560 column).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S7__S9_manual_historical_point_specialist.json,5.0,5.0,5.0,,true,
MV_S7_S9_07,9,S9,tie,2316.8,171.6,,,,,,,North-east corner of the Mechanic(Av.C)/22nd St intersection (south-west corner of block 559/560 column).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S7__S9_manual_historical_point_specialist.json,5.0,5.0,5.0,,true,
MV_S7_S9_08,7,S7,tie,3096.18,3621.0,,,,,,,"North-west corner of the Market(Av.D)/22nd St intersection: north property line of 22nd St meets the WEST property line of Av. D or Market E. (south-east corner of block 561, adjoining sheets 8/10).",block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.07,4.07,4.07,,true,reconciled with independent reviewer (max disagreement 2.71px)
MV_S7_S9_08,9,S9,tie,3102.95,167.7,,,,,,,"North-west corner of the Market(Av.D)/22nd St intersection: north property line of 22nd St meets the WEST property line of Av. D or Market E. (south-east corner of block 561, adjoining sheets 8/10).",block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S7__S9_manual_historical_point_specialist.json,4.07,4.07,4.07,,true,reconciled with independent reviewer (max disagreement 2.71px)
MV_S7_S9_09,7,S7,tie,3095.9,3865.6,,,,,,,South-west corner of the Market(Av.D)/22nd St intersection (north-east corner of block 562/564 column).,block corner,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",medium,S7__S9_manual_historical_point_specialist.json,5.0,5.0,5.0,,true,
